 interaktives Kino	interactive Cinema	R_Sicht=art	R_GD_View=27 filmic view	R_JJJJ=(1991)	R_Sparte=FVI	
Art & Music (Science)	Echtzeitkomposition	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1989)	R_Sparte=M	
Art & Music (Science)	electronic music	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1979,89)	R_Sparte=M	
Art & Music (Science)	Elektroakustik	R_Sicht=science	R_GD_View=25 view of music		R_Sparte=M	
Art & Music (Science)	Elektronikmusiker	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1990)	R_Sparte=M	
Art & Music (Science)	elektronische Klangfarben	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1980)	R_Sparte=M	
Art & Music (Science)	Klangsynthese	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1989)	R_Sparte=M	
Art & Music (Science)	Musik in Echtzeit	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1979)	R_Sparte=M	
Art & Music (Science)	Musik programmieren	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1980)	R_Sparte=M	
Art & Music (Science)	musikalische Energie	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1984)	R_Sparte=M	
Art & Music (Science)	Musikanalyse und Musiksynthese	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1979)	R_Sparte=M	
Art & Music (Science)	Musikcomputer	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1980,88,89,90,92)	R_Sparte=M	
Art & Music (Science)	Musikprogramme	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1984)	R_Sparte=M	
Art & Music (Science)	Musikvisualisierung	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1982, 2001)	R_Sparte=M	
Art & Music (Science)	Online-Musikzusammenarbeit	R_Sicht=science	R_GD_View=25 view of music	R_JJJJ=(1999)	R_Sparte=M	
Art & Nano Science	24 view of magnitude	R_Sicht=science	R_GD_View=24 view of magnitude			
Art & Nano Science	24 view of magnitude (Groesse, Ausdehnung, Wichtigkeit)	R_Sicht=science	R_GD_View=24 view of magnitude			
Art & Nano Science	24 view of the field	R_Sicht=science	R_GD_View=24 view of magnitude			
Art & Nano Science	24 view of the in-between (space)	R_Sicht=science	R_GD_View=24 view of magnitude			
Art & Nano Science	Art & Scientific Image	R_Sicht=science	R_GD_View=24 view of magnitude			
Art & Nano Science	Endo/Nano	R_Sicht=science	R_GD_View=24 view of magnitude	R_JJJJ=(1992)		
Art & Nano Science	Nano...	R_Sicht=science	R_GD_View=24 view of magnitude			
Art & Nano Science	Nano-Computer	R_Sicht=science	R_GD_View=24 view of magnitude	R_JJJJ=(1992)		
Art & Nano Science	Nano-Roboter	R_Sicht=science	R_GD_View=24 view of magnitude	R_JJJJ=(1999)		
Art & Nano Science	Nano-Technik	R_Sicht=science	R_GD_View=24 view of magnitude	R_JJJJ=(n)		
Art & Nano Science	Nanotechnologie	R_Sicht=science	R_GD_View=24 view of magnitude	R_JJJJ=(1992)		
Art & Nano Science	Nanotechnology	R_Sicht=science	R_GD_View=24 view of magnitude	R_JJJJ=(1986)		
Art & Philosophy	01 culture-theoretical view	R_Sicht=theory	R_GD_View=01 culture-theoretical view			
Art & Philosophy	03 interdisciplinarity view	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	16 analytical view	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	16 discourse view	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	16 epistemological view	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	17 media philosophy view	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	Art & History of Science	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	Art & Linguistics	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	Art & Logic	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	Cyberphilosophen	R_Sicht=theory	R_GD_View=17 media philosophy view	R_JJJJ=(1990)		
Art & Philosophy	Medienphilosophie	R_Sicht=theory	R_GD_View=17 media philosophy view	R_JJJJ=(2002,2003)		
Art & Philosophy	Philosophical round table: ... Philosophical proponents of postmodernism ...	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	Philosophische Datenbank (Mike Hentz, Minus Delta T)	R_Sicht=theory	R_GD_View=17 media philosophy view	R_JJJJ=(1984,1999)		
Art & Philosophy	philosopical concepts	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Philosophy	postmodern philosophy	R_Sicht=theory	R_GD_View=17 media philosophy view			
Art & Poetry (Science)	15 view of literature	R_Sicht=science	R_GD_View=15 view of literature		R_Sparte=L	
Art & Poetry (Science)	31 orality view	R_Sicht=science	R_GD_View=15 view of literature		R_Sparte=L	
Art & Poetry (Science)	31 rhetoric view	R_Sicht=science	R_GD_View=15 view of literature		R_Sparte=L	
Art & Poetry (Science)	31 voice view	R_Sicht=science	R_GD_View=15 view of literature		R_Sparte=LM	
Art & Poetry (Science)	Art & Literature (Science)	R_Sicht=science	R_GD_View=15 view of literature		R_Sparte=L	
Art & Poetry (Science)	art theory	R_Sicht=science	R_GD_View=15 view of literature		R_Sparte=L	
Art & Poetry (Science)	code poetry	R_Sicht=science	R_GD_View=15 view of literature	R_JJJJ=(2003)	R_Sparte=L	
Art & Poetry (Science)	Poetry	R_Sicht=science	R_GD_View=15 view of literature		R_Sparte=L	
Art & Science	03 interdisciplinarity view	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	04 view of innovation	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	Art & Scientific Image	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	Art and Sciences	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	high technology art	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	Knowbotic Research	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	militarization of science and ist culture of death	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	Naturwissenschaften	R_Sicht=science	R_GD_View=16 epistemological view		R_Sparte=	R_Quelle=SN
Art & Science	science art	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	scientific concepts	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	Technoscience	R_Sicht=science	R_GD_View=16 epistemological view	R_JJJJ=(1997)		
Art & Science	technoscience art	R_Sicht=science	R_GD_View=16 epistemological view			
Art & Science	Technowissenschaft	R_Sicht=science	R_GD_View=16 epistemological view	R_JJJJ=(1998)		
Art & Science	Wissenschaft	R_Sicht=science	R_GD_View=16 epistemological view	R_JJJJ=(1996,2001)		
Art & Science	Wissenschaftlicher Anspruch	R_Sicht=science	R_GD_View=16 epistemological view	R_JJJJ=(1992,99)		
Art & Science	Wissenschaftsdiskurs	R_Sicht=science	R_GD_View=16 epistemological view	R_JJJJ=(1997)		
Art & Science	Wissensvermittlung	R_Sicht=science	R_GD_View=16 epistemological view	R_JJJJ=(1996,2001)		
Art & Scientific Image	15 diagrammatic view	R_Sicht=science	R_GD_View=15 diagrammatic view		R_Sparte=DA	
Art & Scientific Image	Art & Microscopy	R_Sicht=science	R_GD_View=15 diagrammatic view		R_Sparte=DA	
Art & Scientific Image	Art & Nano Science	R_Sicht=science	R_GD_View=15 diagrammatic view		R_Sparte=DA	
Art & Scientific Image	Art & Science	R_Sicht=science	R_GD_View=15 diagrammatic view		R_Sparte=DA	
Art & Scientific Image	Technologische Bilder	R_Sicht=science	R_GD_View=15 diagrammatic view	R_JJJJ=(n)	R_Sparte=DA	
Art & Theatre (Science)	31 theater view	R_Sicht=science	R_GD_View=32 theater studies view		R_Sparte=P	
Art & Theatre (Science)	32 theater studies view	R_Sicht=science	R_GD_View=32 theater studies view		R_Sparte=P	
Art & Theatre (Science)	32 theater view / opera view	R_Sicht=science	R_GD_View=32 theater studies view		R_Sparte=P	
Art & Theatre (Science)	Art & Drama (Science)	R_Sicht=science	R_GD_View=32 theater studies view		R_Sparte=P	
Art & Theatre (Science)	Computer als Theater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(1990)	R_Sparte=P	
Art & Theatre (Science)	computer-akustisches Tanztheater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(1982)	R_Sparte=PM	
Art & Theatre (Science)	Cyberspace-Theater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(n)	R_Sparte=P	
Art & Theatre (Science)	interaktives Theater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(1996)	R_Sparte=PI	
Art & Theatre (Science)	Intermedia-Theater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(1986)	R_Sparte=P	
Art & Theatre (Science)	Multimediales Theater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(2000)	R_Sparte=P	
Art & Theatre (Science)	Multimediatheater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(2002)	R_Sparte=P	
Art & Theatre (Science)	online-theater	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(1989)	R_Sparte=P	
Art & Theatre (Science)	Theatermedien	R_Sicht=science	R_GD_View=32 theater studies view	R_JJJJ=(n)	R_Sparte=P	
art against violence	Violence	R_Sicht=culture		R_JJJJ=2002		
Art and Sciences	02 circumstances view	R_Sicht=science	R_GD_View=16 epistemological view			
Art and Sciences	14 researcherview	R_Sicht=science	R_GD_View=16 epistemological view			
art and war	War	R_Sicht=culture		R_JJJJ=2002		
art as a framework of communication	art as communication	R_Sicht=art				
art as a framework of communication / art as communication framework	Communication					
art as communication	07 view of communication	R_Sicht=art	R_GD_View=07 view of communication			
art as communication	art as a framework of communication	R_Sicht=art	R_GD_View=07 view of communication			
art as communication	Communication	R_Sicht=art	R_GD_View=07 view of communication			
art as communication	communication art	R_Sicht=art	R_GD_View=07 view of communication			
art as complexity	Complexity	R_Sicht=art				
art as complexity	complexity and aesthetics	R_Sicht=theory	R_GD_View=25 systemic view		R_Sparte=	R_Quelle=PF
art as form of space	space			R_JJJJ=(1989)		
art as public cultural production	Production			R_JJJJ=2003		
art as public cultural production	Public			R_JJJJ=2003		
art as shock	Shock					
art as tool experience	05 tool view / instruments	R_Sicht=art	R_GD_View=05 tool view / instruments			
art as tool experience	art	R_Sicht=art	R_GD_View=05 tool view / instruments			
art as tool experience	Experience	R_Sicht=art	R_GD_View=05 tool view / instruments			
art criticism	04 view of criticism / valuation	R_Sicht=culture	R_GD_View=04 view of criticism / valuation			
art documentation	Documentation	R_Sicht=culture				
art games	artful games	R_Sicht=art	R_GD_View=32 gaming view		R_Sparte=GI	R_Quelle=SW
art is increasingly less suitable as a source for visual design	Visual Culture					
art is increasingly less suitable as a source for visual design	visual design				R_Sparte=	R_Quelle=SN
art market	21 view of the (art) market	R_Sicht=world	R_GD_View=21 view of the (art) market			
art of the TechnoFuture	Future	R_Sicht=art				
art theory	Art & Poetry (Science)	R_Sicht=theory				
art theory	Kunsttheorie	R_Sicht=theory			R_Sparte=	R_Quelle=SN
art theory	media art theory	R_Sicht=theory				
art world	02 operating system (art field)	R_Sicht=culture	R_GD_View=02 operating system (art field)			
art world	Kunst 	R_Sicht=culture	R_GD_View=02 operating system (art field)			
ArtBase	Database			R_JJJJ=(2001)		
artbase	Database	R_Sicht=art				
artbase	media archive	R_Sicht=art				
artful	art	R_Sicht=art				
artful	artful games	R_Sicht=art	R_GD_View=32 gaming view		R_Sparte=G	
artful	Genre	R_Sicht=art				
artful games	art games	R_Sicht=art	R_GD_View=32 gaming view		R_Sparte=GI	R_Quelle=SW
artful games	artful	R_Sicht=art	R_GD_View=32 gaming view		R_Sparte=GI	
artful games	game art	R_Sicht=art	R_GD_View=32 gaming view		R_Sparte=GI	
artificial	artificial intelligence (AI)	R_Sicht=representation	R_GD_View=16 AI view	R_JJJJ=(1990)		
artificial	Artificial Life	R_Sicht=representation	R_GD_View=17 artifical life view			
artificial	artificial reality	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=(1986,89,90,2000)		
artificial	Genetische Kunst  Künstliches Leben	R_Sicht=representation	R_GD_View=17 artifical life view	R_JJJJ=(1993)		
artificial	kuenstliche Boesewichte	R_Sicht=representation		R_JJJJ=(2003)		
artificial	kuenstliche Gespenster	R_Sicht=representation		R_JJJJ=(1984)		
artificial	Kuenstliche Intelligenz (KI)	R_Sicht=representation	R_GD_View=16 AI view	R_JJJJ=(1986)		
artificial	kuenstliche Kreaturen	R_Sicht=representation		R_JJJJ=(1993)		
artificial	kuenstliche Lebewesen	R_Sicht=representation	R_GD_View=17 artifical life view	R_JJJJ=(1993)		
artificial	kuenstliche Plazenta	R_Sicht=representation		R_JJJJ=(2000)		
artificial	kuenstliche Realitaet	R_Sicht=representation		R_JJJJ=(1992)		
artificial	kuenstliche Repraesentation	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=(1984)		
artificial	kuenstliche Sinne	R_Sicht=representation		R_JJJJ=(1994)		
artificial	Kuenstliche Spiele	R_Sicht=representation	R_GD_View=32 gaming view	R_JJJJ=(1994)	R_Sparte=G	
artificial	kuenstliche Umgebung	R_Sicht=representation		R_JJJJ=(1994)		
artificial	kuenstliche Welten	R_Sicht=representation		R_JJJJ=(1994,96,98)		
artificial	kuenstliche Wirklichkeit	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=(1989,91)		
artificial	Künstliche Wolken	R_Sicht=representation		R_JJJJ=(1980)		
artificial	Kuenstlicher Wille	R_Sicht=representation		R_JJJJ=(1984)		
artificial	kuenstliches Leben	R_Sicht=representation	R_GD_View=17 artifical life view	R_JJJJ=(1993,95)		
artificial	Kuenstlichkeit	R_Sicht=representation				
artificial	Mythos des Kuenstlichen	R_Sicht=representation	R_GD_View=17 artifical life view	R_JJJJ=(1996)		
artificial	Synthetik	R_Sicht=representation				
artificial agents	autonomous agents	R_Sicht=informatics	R_GD_View=24 view of informatics			
artificial agents	software agents	R_Sicht=informatics	R_GD_View=24 view of informatics			
artificial consciousness	Artificial Life					
artificial intelligence	16 AI view	R_Sicht=informatics	R_GD_View=16 AI view			
artificial intelligence	AI	R_Sicht=informatics	R_GD_View=16 AI view			
artificial intelligence	artificial intelligence (AI)	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=(1990)		
artificial intelligence	Automation	R_Sicht=informatics	R_GD_View=16 AI view			
artificial intelligence	Expertensysteme	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=(1986,91,93,94,95)		
artificial intelligence	intelligent environment (from the perspective of surveillance)	R_Sicht=informatics	R_GD_View=16 AI view			
artificial intelligence	Intelligente Maschinen	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=(1998)		
artificial intelligence	KI/AI-Diskurs	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=(1990)		
artificial intelligence	Kuenstliche Intelligenz	R_Sicht=informatics	R_GD_View=16 AI view			
artificial intelligence	Kuenstliche Intelligenz (KI)	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=(1986)		
artificial intelligence	Repraesentation	R_Sicht=informatics	R_GD_View=16 AI view			
artificial intelligence (AI)	artificial	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=1990		
artificial intelligence (AI)	artificial intelligence	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=1990		
artificial intelligence (AI)	Kuenstliche Intelligenz (KI)	R_Sicht=informatics	R_GD_View=16 AI view	R_JJJJ=(1986)		
Artificial Life	17 artifical life view	R_Sicht=informatics	R_GD_View=17 artifical life view			
artificial life	17 artifical life view	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	adaption	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	aesthetics and fabulous epistemology of artificial life	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(1993)		
Artificial Life	A-life	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	A-Life	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	Animats	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	artificial	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	artificial consciousness	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	artificial life - simulations software	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	Artificial Life Art	R_Sicht=art	R_GD_View=17 artifical life view		R_Sparte=	R_Quelle=PF
Artificial Life	artificial life forms	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	artificial nature	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	Biokybernetik	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	cellular automata	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	cyberbotany	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	evolution	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	genetic algorithms	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	genetic art - artificial life	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(1993)		
Artificial Life	Genetische Kunst  Künstliches Leben	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(1993)		
Artificial Life	Immaterialitaet	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	Koerperlosigkeit	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	kuenstliche Kreaturen	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(1993)		
Artificial Life	kuenstliche Lebewesen	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(1993)		
Artificial Life	kuenstliche Plazenta	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(2000)		
Artificial Life	kuenstliches Leben	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(1993,95)		
Artificial Life	Kuenstlichkeit	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	moist reality (biotechnology of artificial life)	R_Sicht=informatics	R_GD_View=17 artifical life view			
Artificial Life	Simuliertes Wachstum	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=( ... 1995)		
Artificial Life	synthetisches Leben	R_Sicht=informatics	R_GD_View=17 artifical life view	R_JJJJ=(n)		
Artificial Life	wetware	R_Sicht=informatics	R_GD_View=17 artifical life view			
artificial life - simulations software	Artificial Life	R_Sicht=software	R_GD_View=17 artifical life view			
artificial life - simulations software	artificial life - Simulations-SW	R_Sicht=software	R_GD_View=17 artifical life view			
artificial life - Simulations-SW	artificial life - simulations software	R_Sicht=software	R_GD_View=17 artifical life view			
Artificial Life Art	Artificial Life	R_Sicht=art	R_GD_View=17 artifical life view		R_Sparte=	R_Quelle=PF
artificial life forms	Artificial Life	R_Sicht=informatics	R_GD_View=17 artifical life view			
artificial nature	Artificial Life	R_Sicht=informatics	R_GD_View=17 artifical life view			
artificial nature	Simulierte Natur	R_Sicht=informatics	R_GD_View=17 artifical life view			
artificial neural networks	Mustererkennung	R_Sicht=informatics	R_GD_View=24 view of informatics			
artificial neural networks	neural nets	R_Sicht=informatics	R_GD_View=24 view of informatics			
artificial neural networks	pattern recognition	R_Sicht=informatics	R_GD_View=24 view of informatics			
artificial reality	artificial	R_Sicht=informatics		R_JJJJ=(1986,89,90,2000)		
artificial reality	kuenstliche Realitaet	R_Sicht=informatics		R_JJJJ=(1986,89,90,2000)		
artificial reality	reality	R_Sicht=informatics				
artificial senses	kuenstliche Sinne	R_Sicht=body		R_JJJJ=(1994)		
artificial senses	Senses	R_Sicht=body				
artificial space	Bildraum	R_Sicht=informatics				
artificial space	immersive (image)space	R_Sicht=informatics				
artificial space	simulated spaces	R_Sicht=informatics				
artificial space	space	R_Sicht=informatics				
Artist / Actor / Performer	14 actor view	R_Sicht=art	R_GD_View=14 artist view			
Artist / Actor / Performer	14 artist view	R_Sicht=art	R_GD_View=14 artist view			
Artist / Actor / Performer	14 authors view	R_Sicht=art	R_GD_View=14 artist view			
Artist / Actor / Performer	feminist strategies of young artists	R_Sicht=art	R_GD_View=14 artist view	R_JJJJ=(2001)		
Artist / Actor / Performer	Medienkuenstler	R_Sicht=art	R_GD_View=14 artist view	R_JJJJ=(1982,84,86,87,88,89,91,92,95,96,97,98,2001,03)		
Artist / Actor / Performer	the artist as archivist	R_Sicht=art	R_GD_View=14 artist view			
artist_s book	15 view of text design	R_Sicht=art	R_GD_View=15 view of text design			
artist_s book	Book	R_Sicht=art				
artist_s book	interlocking two realities - Magic Book (Kato)	R_Sicht=art				
artistic concepts	Concept	R_Sicht=art				
artistic concepts	Concept Art	R_Sicht=art				
artistic holography	Holographie Kunst	R_Sicht=art			R_Sparte=B	
artistic holography	Holography	R_Sicht=archeology	R_GD_View=11 light view			
artistic re-packaging	04 view of innovation	R_Sicht=art	R_GD_View=04 view of innovation			
artistic re-packaging	06 view of designing gestures	R_Sicht=art	R_GD_View=04 view of innovation			
artistic re-packaging	deconstruction and modification	R_Sicht=art	R_GD_View=04 view of innovation			
artistic re-packaging	experimenting	R_Sicht=art	R_GD_View=04 view of innovation			
artistic re-packaging	Kombinatorik	R_Sicht=art	R_GD_View=04 view of innovation			
artistic software	05 tool view / instruments	R_Sicht=software	R_GD_View=05 tool view / instruments			
arts management	23 manager´s view	R_Sicht=culture	R_GD_View=23 manager´s view			
arts management	Management	R_Sicht=culture	R_GD_View=23 manager´s view	R_JJJJ=(2001)		
ASCII	ascii art	R_Sicht=informatics	R_GD_View=24 view of informatics		R_Sparte=C	
ASCII	Protokoll	R_Sicht=informatics	R_GD_View=24 view of informatics		R_Sparte=C	
ascii art	ASCII	R_Sicht=art			R_Sparte=D	
astronomy	bildgebende Medien	R_Sicht=science				
astrophysics	bildgebende Medien	R_Sicht=science				
astrophysics	physics	R_Sicht=science				
asynchronous communication	Asynchronität	R_Sicht=comtech			R_Sparte=	R_Quelle=SN
asynchronous communication	Internet	R_Sicht=comtech				
asynchronous communication	synchronous/asynchronous communication	R_Sicht=comtech				
Atari	Amiga	R_Sicht=hardware				
Atari	graphic modul	R_Sicht=hardware				
Atari	MAC	R_Sicht=hardware				
Ateliercomputer	ars intermedia	R_Sicht=hardware		R_JJJJ=(1979)		
Ateliercomputer	Rechner_calc	R_Sicht=hardware		R_JJJJ=(1979)		
Atemsensor	Breathing Sensor	R_Sicht=interface	R_GD_View=14 view of sensor technology	R_JJJJ=(n)		
Atmosphere	Atmospheric studies				R_Sparte=	R_Quelle=SW
Atmung als Regelmechanismus	Cybernetics	R_Sicht=interface	R_GD_View=05 interface view			
atonale Musik	Klang		R_GD_View=25 view of music		R_Sparte=M	R_Quelle=SN
atonale Musik	Musik		R_GD_View=25 view of music		R_Sparte=M	R_Quelle=SN
attributive Strukturierung (tags)	faceted classification	R_Sicht=representation			R_Sparte=L	R_Quelle=GS
Audio Art	25 acoustic "view"	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	25 view of music	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	26 view of the score	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	Audio	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	R_Quelle=PF
Audio Art	audio performance	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=PM	
Audio Art	Audio-Kunst	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	Audiotechnik / Audiosoftware	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	Music	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	networked audio	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	Sound	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio Art	Soundinstallation	R_Sicht=art	R_GD_View=25 acoustic "view"		R_Sparte=M	
Audio CD	CD	R_Sicht=storage	R_GD_View=20 view of storage media		R_Sparte=M	
audio logic	Logic				R_Sparte=M	
audio performance	Audio Art		R_GD_View=26 performance view		R_Sparte=PM	
audio performance	Audioperformance		R_GD_View=26 performance view		R_Sparte=PM	
audio performance	sound performance		R_GD_View=26 performance view		R_Sparte=PM	
audio streaming	audio-portal	R_Sicht=software	R_GD_View=10 internet view	R_JJJJ=(01)	R_Sparte=MN	
audio streaming	Streaming				R_Sparte=M	
Audio-Kunst	Audio Art	R_Sicht=art			R_Sparte=M	
Audiomikroskope	Art & Microscopy			R_JJJJ=(1987)	R_Sparte=M	
Audioperformance	audio performance		R_GD_View=26 performance view		R_Sparte=PM	
audio-portal	audio portal	R_Sicht=software	R_GD_View=10 internet view	R_JJJJ=(01)	R_Sparte=MN	
audio-portal	audio streaming	R_Sicht=software	R_GD_View=10 internet view	R_JJJJ=(01)	R_Sparte=MN	
audio-portal	MP3-Portal	R_Sicht=software	R_GD_View=10 internet view	R_JJJJ=(01)	R_Sparte=MN	
Audiosequenzer	electronic instruments	R_Sicht=hardware			R_Sparte=M	
Audiosequenzer	Generativitaet	R_Sicht=hardware			R_Sparte=M	
Audiosequenzer	Sequenzer	R_Sicht=hardware			R_Sparte=M	
Audiosynthesizer	synthesizer	R_Sicht=hardware			R_Sparte=M	
Audiotape	digital audio tape (DAT)	R_Sicht=storage	R_GD_View=20 view of storage media	R_JJJJ=(1987)	R_Sparte=M	
Audiotechnik / Audiosoftware	Audio Art	R_Sicht=software			R_Sparte=M	
Audiotechnik / Audiosoftware	digital audio tape (DAT)	R_Sicht=software		R_JJJJ=(1987)	R_Sparte=M	
audiovisual environment suite	audiovisual project	R_Sicht=software		R_JJJJ=(2000)	R_Sparte=M	
audiovisual environment suite	Environmental art	R_Sicht=software		R_JJJJ=(2000)	R_Sparte=M	
audiovisual performance	audiovisual project	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PM	
audiovisual performance	AV Live Performance	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PM	R_Quelle=SN
audiovisual performance	intermedia performance	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PM	R_Quelle=SN
audiovisual project	03 synaesthetic view	R_Sicht=art	R_GD_View=03 synaesthetic view		R_Sparte=MA	
audiovisual project	audiovisual environment suite	R_Sicht=art	R_GD_View=03 synaesthetic view	R_JJJJ=(2000)	R_Sparte=MA	
audiovisual project	audiovisual performance	R_Sicht=art	R_GD_View=03 synaesthetic view		R_Sparte=PMA	
audiovisual project	audiovisuell	R_Sicht=art	R_GD_View=03 synaesthetic view		R_Sparte=MA	R_Quelle=SN
audiovisual project	audiovisuelle Praesenz	R_Sicht=art	R_GD_View=03 synaesthetic view		R_Sparte=MA	
audiovisual project	VJ	R_Sicht=art	R_GD_View=03 synaesthetic view		R_Sparte=MA	
audiovisuelle Praesenz	audiovisual project	R_Sicht=art			R_Sparte=M	
audiovisuelle Praesenz	visualisierte Sprache und Gesang	R_Sicht=art		R_JJJJ=(2003)	R_Sparte=M	
audiovisuelle Praesenz	Visuelle Computer	R_Sicht=art		R_JJJJ=(1982)	R_Sparte=M	
audiovisuelle Wahrnehmung	intermodale Wahrnehmung				R_Sparte=M	R_Quelle=SN
audiovisuelle Wahrnehmung	Wahrnehmung				R_Sparte=M	R_Quelle=SN
auditive digital storytelling	digital storytelling				R_Sparte=M	
auditive digital storytelling	story telling				R_Sparte=M	
auditive Wahrnehmung	Wahrnehmung				R_Sparte=M	R_Quelle=SN
auftauchen	emergence				R_Sparte=P	
auftauchen	erscheinen				R_Sparte=P	
Aufzeichnungsmedien	Aufzeichnungsverfahren			R_JJJJ=(n)	R_Sparte=	R_Quelle=SN
